ext_gene	transcript	eSTR	log10p	STR_pheno
2L52.1	2L52.1a.1	STR_20779	7.13886715225595	STR length
2L52.1	2L52.1a.1	STR_20782	6.92880383941858	STR length
2L52.1	2L52.1a.1	STR_20813	7.59989734927212	STR length
2L52.1	2L52.1a.1	STR_21150	7.10005795977458	STR length
2L52.1	2L52.1a.1	STR_21445	6.98109767040408	STR length
2L52.1	2L52.1a.1	STR_21539	7.08232479696643	STR length
rga-9	2RSSE.1a.1	STR_24899	7.90601262786048	STR length
rga-9	2RSSE.1a.1	STR_24900	7.3172557615119	STR length
rga-9	2RSSE.1a.1	STR_25061	8.2697171745912	STR length
rga-9	2RSSE.1a.1	STR_25066	8.94949744949326	STR length
pot-3	3R5.1a.1	STR_16029	8.29942535901334	STR length
AC8.10	AC8.10.1	STR_6739	8.21739563222049	STR length
AC8.11	AC8.11.1	STR_6642	6.91218520042215	STR length
AC8.11	AC8.11.1	STR_6739	9.15869744904356	STR length
AC8.11	AC8.11.1	STR_6767	7.99566463084494	STR length
AC8.12	AC8.12	STR_6537	9.58353198918815	STR length
AC8.12	AC8.12	STR_6543	11.3501031867468	STR length
AC8.12	AC8.12	STR_6552	11.9572933836986	STR length
AC8.12	AC8.12	STR_6557	14.968746196872	STR length
AC8.12	AC8.12	STR_6624	13.0401200594315	STR length
AC8.12	AC8.12	STR_6629	10.898200230416	STR length
AC8.12	AC8.12	STR_6635	10.2166459098215	STR length
AC8.12	AC8.12	STR_6642	19.2754398742804	STR length
AC8.12	AC8.12	STR_6696	18.9595013855891	STR length
AC8.12	AC8.12	STR_6697	13.0177662727377	STR length
AC8.12	AC8.12	STR_6739	33.9922231704968	STR length
AC8.12	AC8.12	STR_6748	20.0389575377359	STR length
AC8.12	AC8.12	STR_6767	33.3983422373534	STR length
AC8.12	AC8.12	STR_6783	13.906156026789	STR length
AC8.12	AC8.12	STR_6791	19.6513259308509	STR length
AC8.12	AC8.12	STR_6957	24.4079059583486	STR length
AC8.12	AC8.12	STR_6970	9.38355011227279	STR length
AC8.12	AC8.12	STR_6989	8.41746100510079	STR length
AC8.12	AC8.12	STR_7007	9.4453392954761	STR length
AC8.12	AC8.12	STR_7031	18.2686885538864	STR length
AC8.12	AC8.12	STR_7065	25.0501378650496	STR length
AC8.12	AC8.12	STR_7099	8.90269579821554	STR length
AC8.12	AC8.12	STR_7193	10.4385994517379	STR length
AC8.12	AC8.12	STR_7199	19.4662072718351	STR length
AC8.12	AC8.12	STR_7314	14.1615922890528	STR length
AC8.12	AC8.12	STR_7363	16.3141999347506	STR length
AC8.12	AC8.12	STR_7421	15.3094434339612	STR length
AC8.12	AC8.12	STR_7429	7.46975935896275	STR length
AC8.7	AC8.7	STR_6537	9.58353198918815	STR length
AC8.7	AC8.7	STR_6543	11.3501031867468	STR length
AC8.7	AC8.7	STR_6552	11.9572933836986	STR length
AC8.7	AC8.7	STR_6557	14.968746196872	STR length
AC8.7	AC8.7	STR_6624	13.0401200594315	STR length
AC8.7	AC8.7	STR_6629	10.898200230416	STR length
AC8.7	AC8.7	STR_6635	10.2166459098215	STR length
AC8.7	AC8.7	STR_6642	19.2754398742804	STR length
AC8.7	AC8.7	STR_6696	18.9595013855891	STR length
AC8.7	AC8.7	STR_6697	13.0177662727377	STR length
AC8.7	AC8.7	STR_6739	33.9922231704968	STR length
AC8.7	AC8.7	STR_6748	20.0389575377359	STR length
AC8.7	AC8.7	STR_6767	33.3983422373534	STR length
AC8.7	AC8.7	STR_6783	13.906156026789	STR length
AC8.7	AC8.7	STR_6791	19.6513259308509	STR length
AC8.7	AC8.7	STR_6957	24.4079059583486	STR length
AC8.7	AC8.7	STR_6970	9.38355011227279	STR length
AC8.7	AC8.7	STR_6989	8.41746100510079	STR length
AC8.7	AC8.7	STR_7007	9.4453392954761	STR length
AC8.7	AC8.7	STR_7031	18.2686885538864	STR length
AC8.7	AC8.7	STR_7065	25.0501378650496	STR length
AC8.7	AC8.7	STR_7099	8.90269579821554	STR length
AC8.7	AC8.7	STR_7193	10.4385994517379	STR length
AC8.7	AC8.7	STR_7199	19.4662072718351	STR length
AC8.7	AC8.7	STR_7314	14.1615922890528	STR length
AC8.7	AC8.7	STR_7363	16.3141999347506	STR length
AC8.7	AC8.7	STR_7421	15.3094434339612	STR length
AC8.7	AC8.7	STR_7429	7.46975935896275	STR length
B0001.3	B0001.3b.2	STR_21602	9.0695349582715	STR length
eri-12	B0001.6.2	STR_27633	7.11849568722286	STR length
eri-12	B0001.6.2	STR_28051	8.3287739870791	STR length
eri-12	B0001.6.2	STR_28138	8.93671845336193	STR length
his-45	B0035.10.1	STR_19200	10.5532421677468	STR length
his-45	B0035.10.1	STR_19295	15.9150502133773	STR length
his-45	B0035.10.1	STR_19328	9.30199518428805	STR length
his-45	B0035.10.1	STR_19343	14.7062412172333	STR length
his-45	B0035.10.1	STR_19488	16.0864526274944	STR length
his-45	B0035.10.1	STR_19499	13.5991033898	STR length
his-45	B0035.10.1	STR_19603	17.0554277828166	STR length
his-45	B0035.10.1	STR_19651	16.0330158667717	STR length
his-45	B0035.10.1	STR_19743	10.1906051602938	STR length
his-45	B0035.10.1	STR_19758	10.0600251195994	STR length
his-45	B0035.10.1	STR_19851	24.1156795357665	STR length
his-45	B0035.10.1	STR_19955	7.62000175590179	STR length
his-45	B0035.10.1	STR_20076	10.4228963552767	STR length
his-45	B0035.10.1	STR_20124	9.22972338564987	STR length
his-45	B0035.10.1	STR_20125	7.80602844190727	STR length
his-45	B0035.10.1	STR_20143	8.42448434815873	STR length
his-45	B0035.10.1	STR_20187	28.8731503564167	STR length
his-45	B0035.10.1	STR_20202	8.40847192404546	STR length
his-45	B0035.10.1	STR_20208	22.109247557423	STR length
his-45	B0035.10.1	STR_20774	8.46279542348424	STR length
his-45	B0035.10.1	STR_21101	10.8292472858352	STR length
his-45	B0035.10.1	STR_23489	9.45157533400814	STR length
his-45	B0035.10.1	STR_24090	7.60959127222483	STR length
his-45	B0035.10.1	STR_24097	14.3516751632952	STR length
his-45	B0035.10.1	STR_24190	11.1669803379873	STR length
his-45	B0035.10.1	STR_24333	8.95385877351469	STR length
his-45	B0035.10.1	STR_24349	17.0176336357385	STR length
his-45	B0035.10.1	STR_24352	12.4854392403988	STR length
his-45	B0035.10.1	STR_24365	10.7461840296178	STR length
his-45	B0035.10.1	STR_24386	7.39014899708692	STR length
his-45	B0035.10.1	STR_24399	11.5868326532789	STR length
his-45	B0035.10.1	STR_24405	7.42550973989428	STR length
his-45	B0035.10.1	STR_24456	7.48268073357582	STR length
his-45	B0035.10.1	STR_24482	8.2755257386938	STR length
his-45	B0035.10.1	STR_24494	7.16213004984261	STR length
his-45	B0035.10.1	STR_24524	10.8324738597475	STR length
his-45	B0035.10.1	STR_24546	16.4655960258715	STR length
his-45	B0035.10.1	STR_24550	8.17875407702031	STR length
his-45	B0035.10.1	STR_24622	9.15038939306011	STR length
his-45	B0035.10.1	STR_24625	8.97369517798178	STR length
his-45	B0035.10.1	STR_26419	11.5730052064349	STR length
sart-3	B0035.12.2	STR_8262	7.28085806940745	STR length
sart-3	B0035.12.2	STR_8362	7.23521293162537	STR length
xnp-1	B0041.7.1	STR_20521	7.4207569357163	STR length
xnp-1	B0041.7.1	STR_20779	7.18417545420566	STR length
B0205.8	B0205.8.1	STR_12858	7.21110654333034	STR length
B0205.8	B0205.8.1	STR_13147	7.59166942160703	STR length
B0205.8	B0205.8.1	STR_13233	7.03582898767911	STR length
B0205.8	B0205.8.1	STR_13248	7.00417890918638	STR length
B0205.8	B0205.8.1	STR_13287	8.24088586074742	STR length
B0205.8	B0205.8.1	STR_13304	7.98416924770029	STR length
B0207.5	B0207.5b.1	STR_24917	6.88120456202359	STR length
nlp-30	B0213.5.1	STR_20924	9.01199224611606	STR length
nlp-30	B0213.5.1	STR_24029	7.09493522696994	STR length
nlp-30	B0213.5.1	STR_24036	6.91140815475541	STR length
B0238.15	B0238.15.1	STR_23461	8.79183289193769	STR length
B0238.15	B0238.15.1	STR_23867	9.19600480114697	STR length
B0238.15	B0238.15.1	STR_24090	9.92484341634442	STR length
B0238.15	B0238.15.1	STR_24091	10.32638291081	STR length
B0238.15	B0238.15.1	STR_24097	9.7365130703367	STR length
B0238.15	B0238.15.1	STR_24154	8.70385608587763	STR length
B0238.15	B0238.15.1	STR_24200	11.492944834251	STR length
B0238.15	B0238.15.1	STR_24333	12.7886441179194	STR length
B0238.15	B0238.15.1	STR_24349	8.00540051828758	STR length
B0238.15	B0238.15.1	STR_24399	7.08885447526591	STR length
B0238.15	B0238.15.1	STR_24405	7.83378510247086	STR length
B0238.15	B0238.15.1	STR_24456	7.52549472280382	STR length
B0238.15	B0238.15.1	STR_24534	14.5033071805269	STR length
B0238.15	B0238.15.1	STR_24537	14.2611559956517	STR length
B0238.15	B0238.15.1	STR_24546	7.66317779190614	STR length
B0238.15	B0238.15.1	STR_24622	7.06795416174031	STR length
B0238.15	B0238.15.1	STR_24734	7.33800412882496	STR length
B0238.15	B0238.15.1	STR_24788	7.09600671413177	STR length
B0238.15	B0238.15.1	STR_24912	7.57477731323905	STR length
B0238.15	B0238.15.1	STR_28765	8.21165650269583	STR length
B0238.15	B0238.15.1	STR_28832	7.44269685457553	STR length
B0238.15	B0238.15.1	STR_29013	8.54554404905937	STR length
B0238.15	B0238.15.1	STR_29015	7.8728171185352	STR length
B0238.15	B0238.15.1	STR_29038	7.66845659088978	STR length
B0238.15	B0238.15.1	STR_29088	7.90163203464943	STR length
B0238.15	B0238.15.1	STR_29307	9.75689030605847	STR length
B0238.15	B0238.15.1	STR_29449	7.13835134265366	STR length
B0250.3	B0250.3	STR_23401	12.7854347224754	STR length
B0250.3	B0250.3	STR_23577	10.4458564387792	STR length
B0250.3	B0250.3	STR_23597	10.4115524740018	STR length
B0250.3	B0250.3	STR_23619	8.87845540928592	STR length
B0250.3	B0250.3	STR_23875	7.57000991356806	STR length
B0250.3	B0250.3	STR_6008	9.41713743477029	STR length
B0250.3	B0250.3	STR_6566	10.8076482612906	STR length
B0250.3	B0250.3	STR_6583	9.05366422363306	STR length
B0250.3	B0250.3	STR_6964	7.59508865811014	STR length
B0250.3	B0250.3	STR_7265	8.5998696750681	STR length
snpc-3.1	B0273.3.1	STR_108	14.4904634751813	STR length
snpc-3.1	B0273.3.1	STR_12	10.3334666808543	STR length
snpc-3.1	B0273.3.1	STR_13	13.6078257985596	STR length
snpc-3.1	B0273.3.1	STR_144	10.1628382000391	STR length
snpc-3.1	B0273.3.1	STR_153	12.1701361986292	STR length
snpc-3.1	B0273.3.1	STR_173	9.88030714859411	STR length
snpc-3.1	B0273.3.1	STR_230	7.8097740890307	STR length
snpc-3.1	B0273.3.1	STR_393	7.94563448610589	STR length
snpc-3.1	B0273.3.1	STR_426	9.9591598227621	STR length
snpc-3.1	B0273.3.1	STR_430	8.24570520612564	STR length
snpc-3.1	B0273.3.1	STR_457	10.4397133510406	STR length
snpc-3.1	B0273.3.1	STR_49	15.9156801281427	STR length
snpc-3.1	B0273.3.1	STR_582	10.1693935174434	STR length
snpc-3.1	B0273.3.1	STR_647	10.0592760394101	STR length
snpc-3.1	B0273.3.1	STR_75	12.9709761157944	STR length
snpc-3.1	B0273.3.1	STR_76	8.2330732312493	STR length
