Hotspot	hotspot_Chr	Merged_hotspots_cM	merged_Hotspot_QTL_count	hotspot_cM_center	str_genotype	pSTR	n_med_STR	n_tx	n_hs_eSTR	p1	hotspotpos
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20779	6	55	64	4.13793103448276	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20782	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20813	6	55	64	4.13793103448276	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21150	7	55	64	4.82758620689655	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21445	6	55	64	4.13793103448276	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21539	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21602	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20924	25	55	64	17.2413793103448	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21039	11	55	64	7.58620689655172	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21181	7	55	64	4.82758620689655	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21314	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21579	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21658	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21659	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21654	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20504	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20574	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20577	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20584	6	55	64	4.13793103448276	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20688	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20714	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20736	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20755	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20767	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20873	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20918	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21320	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21111	5	55	64	3.44827586206897	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20933	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20617	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20761	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20863	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20864	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21387	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21401	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21443	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21533	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20542	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20555	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21374	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21645	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20560	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20595	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20618	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20665	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20678	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21397	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21165	4	55	64	2.75862068965517	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21233	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21254	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21324	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21606	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20916	3	55	64	2.06896551724138	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21163	2	55	64	1.37931034482759	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21595	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20763	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21261	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21618	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21198	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21340	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_19343	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21167	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_21063	1	55	64	0.689655172413793	IV_42
Yes	IV	41.5, 42, 42.5	145	42	factor_length	STR_20521	1	55	64	0.689655172413793	IV_42
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24899	19	80	73	12.5	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24900	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25061	11	80	73	7.23684210526316	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25066	18	80	73	11.8421052631579	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24917	37	80	73	24.3421052631579	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24546	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24897	4	80	73	2.63157894736842	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24705	4	80	73	2.63157894736842	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24801	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25197	9	80	73	5.92105263157895	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24190	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24349	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24622	1	80	73	0.657894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24850	8	80	73	5.26315789473684	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25088	9	80	73	5.92105263157895	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25134	7	80	73	4.60526315789474	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25143	5	80	73	3.28947368421053	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25168	4	80	73	2.63157894736842	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25250	6	80	73	3.94736842105263	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25367	10	80	73	6.57894736842105	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_25429	4	80	73	2.63157894736842	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24921	9	80	73	5.92105263157895	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24664	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24668	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24673	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24695	2	80	73	1.31578947368421	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24724	8	80	73	5.26315789473684	V_26.5
Yes	V	26, 26.5, 27	152	26.5	factor_length	STR_24786	1	80	73	0.657894736842105	V_26.5
