strain	Line	N_generation	N_pSTR	mutation	N_mutation	mutation_rate	gfeature
N2	502	239	1196	deletions	2	3.49841172107863e-06	3'UTR
N2	502	239	364	deletions	1	5.74739068462918e-06	5'UTR
N2	502	239	1108	deletions	3	5.66439587329879e-06	enhancer
N2	502	239	5612	deletions	20	7.45563153672495e-06	intergenic
N2	502	239	7192	deletions	41	1.1926315152587e-05	intron
N2	502	239	1122	deletions	2	3.72914475794121e-06	promoter
N2	502	239	260	deletions	2	1.60926939169617e-05	pseudogene
N2	502	239	456	deletions	2	9.17565881230272e-06	RNAs & TEs
N2	502	239	1196	insertions	2	3.49841172107863e-06	3'UTR
N2	502	239	5612	insertions	23	8.57397626723369e-06	intergenic
N2	502	239	7192	insertions	39	1.13445436817291e-05	intron
N2	502	239	1122	insertions	2	3.72914475794121e-06	promoter
N2	502	239	260	insertions	1	8.04634695848085e-06	pseudogene
N2	502	239	456	insertions	1	4.58782940615136e-06	RNAs & TEs
N2	502	239	1196	substitutions	28	4.89777640951008e-05	3'UTR
N2	502	239	364	substitutions	5	2.87369534231459e-05	5'UTR
N2	502	239	1108	substitutions	2	3.77626391553253e-06	enhancer
N2	502	239	5612	substitutions	138	5.14438576034022e-05	intergenic
N2	502	239	7192	substitutions	243	7.06852337092353e-05	intron
N2	502	239	1122	substitutions	6	1.11874342738236e-05	promoter
N2	502	239	260	substitutions	8	6.43707756678468e-05	pseudogene
N2	502	239	456	substitutions	9	4.12904646553623e-05	RNAs & TEs
N2	503	236	1186	deletions	2	3.57275559493526e-06	3'UTR
N2	503	236	1121	deletions	6	1.13397541541299e-05	enhancer
N2	503	236	5549	deletions	25	9.54516159576775e-06	intergenic
N2	503	236	7000	deletions	37	1.11985472154964e-05	intron
N2	503	236	1116	deletions	2	3.79685316809428e-06	promoter
N2	503	236	263	deletions	2	1.61113617322936e-05	pseudogene
N2	503	236	453	deletions	1	4.6769184719572e-06	RNAs & TEs
N2	503	236	1186	insertions	4	7.14551118987052e-06	3'UTR
N2	503	236	5549	insertions	21	8.01793574044491e-06	intergenic
N2	503	236	7000	insertions	26	7.86924939467312e-06	intron
N2	503	236	1116	insertions	1	1.89842658404714e-06	promoter
N2	503	236	263	insertions	1	8.05568086614681e-06	pseudogene
N2	503	236	453	insertions	1	4.6769184719572e-06	RNAs & TEs
N2	503	236	1186	substitutions	31	5.53777117214966e-05	3'UTR
N2	503	236	361	substitutions	2	1.17376402648012e-05	5'UTR
N2	503	236	1121	substitutions	4	7.55983610275329e-06	enhancer
N2	503	236	5549	substitutions	140	5.34529049362994e-05	intergenic
N2	503	236	7000	substitutions	195	5.90193704600484e-05	intron
N2	503	236	1116	substitutions	9	1.70858392564243e-05	promoter
N2	503	236	263	substitutions	7	5.63897660630276e-05	pseudogene
N2	503	236	453	substitutions	6	2.80615108317432e-05	RNAs & TEs
N2	504	212	1296	deletions	3	5.45946890286513e-06	3'UTR
N2	504	212	1131	deletions	10	2.08531438199623e-05	enhancer
